names,nums
사람,146
데이터,98
생각,87
프로젝트,73
제작,72
러닝,69
학습,63
회사,60
머신,56
팀,55
분야,53
시간,53
속도,52
활동,52
책임,52
과정,50
프로그램,49
가장,49
인공,48
지능,48
기계,48
자신,47
기술,45
도덕,45
부분,44
인간,43
분석,37
기반,36
알고리즘,36
방법,35
공부,34
값,34
사회,34
세상,32
시스템,31
경험,31
기업,31
도전,30
독학,29
이해,29
열차,28
작업,28
내용,28
빅데이터,27
다른,27
처벌,26
업무,26
흥미,25
효율,25
변화,25
스스로,25
문제,25
글,25
환율,24
계산기,24
구현,24
해당,24
장소,24
음악,24
직접,24
무엇,24
단어,23
책,23
모든,23
구간,23
물,23
이내,23
제품,22
동아리,22
고등학교,22
대해,22
기여,22
뇌,22
길,22
역할,22
관심,22
환경,21
미래,21
왜,21
온도,20
스터디,20
개발,20
결과,20
이유,20
친구,20
계속,20
방식,20
이야기,20
기획,19
법,19
보고,19
현재,19
대학,19
부정,18
페이지,18
네트워크,18
사용자,18
발전,18
정보,18
열정,18
엔지니어,18
고객,18
유전,17
구축,17
딥,17
위,17
코드,17
리스트,17
점,17
이상,17
면접,17
사용,17
말,17
모두,17
도움,16
롤링,16
타자,16
관리,16
웹,16
의미,16
만약,16
경우,16
해,16
점수,16
기간,16
처음,15
교육,15
마이,15
그레이,15
션,15
버스,15
냉,15
해킹,15
가치,15
분,15
승객,15
물론,15
지식,15
전공,15
명,15
개인,15
기존,15
서비스,15
폐기,15
비,15
질문,15
지원,15
계산,15
인재,14
환승,14
진행,14
센서,14
모의,14
서울대학교,14
목표,14
때문,14
추천,14
하나,14
수업,14
엑스,14
브레인,14
각종,13
함수,13
전,13
에서,13
학생,13
평판,13
생,13
살,13
아카데미,12
교수,12
상황,12
긍정,12
유명인,12
수준,12
못,12
의견,12
개발자,12
방향,12
난방,12
지속,12
저장,12
생활,12
학교,12
스타트업,12
모델,12
수도,11
트위터,11
기초,11
근무,11
보안,11
주로,11
조금,11
자체,11
선택,11
볼,11
취향,11
즉,11
뿐,11
예상,11
일이,11
모습,11
문화,11
대화,11
반복,11
각자,11
대기업,11
긍,10
해결,10
프로그래밍,10
구조,10
개선,10
관련,10
집단,10
깊이,10
평가,10
어려움,10
영화,10
뉴런,10
분류,10
이동,10
더욱,10
설명,10
토론,10
목적,10
판단,10
좀,10
사항,10
성격,10
나은,10
성장,10
즐거움,10
과,10
역량,10
작성,10
다시,10
시작,10
서로,10
꿈,10
조직,10
염기,9
웅,9
호감,9
통계,9
아키,9
텍트,9
그룹,9
소,9
이론,9
룰,9
연습,9
대학생,9
비용,9
제대로,9
먼저,9
쪽,9
아이디어,9
재생산,9
당신,9
아래,9
만들기,9
기재,9
행동,9
사람과,9
존재,9
능력,9
외국,9
창업,9
대부분,9
다양성,9
뉴스,8
선형대수학,8
스크립트,8
기능,8
서울시,8
응답,8
디자인,8
모드,8
실습,8
기본,8
논리,8
이전,8
철학,8
얼마나,8
스코어,8
하루,8
만,8
선발,8
최선,8
실력,8
화면,8
검색,8
마음,8
이후,8
자율,8
해도,8
행위,8
예,8
최고,8
그것,8
과거,8
세계,8
강화,8
틀,8
추가,8
함,8
노력,8
무언가,8
공유,8
메모장,8
아두이노,8
선임,8
수가,8
줄,8
당시,8
팀원,8
너무,8
적합,8
실행,8
대학교,8
날씨,8
교배,8
정치인,7
약,7
신경망,7
패턴인식,7
개론,7
이슈,7
운영,7
부원,7
달리,7
독서,7
실제,7
찾기,7
대회,7
동작,7
참여,7
배열,7
블로그,7
사이트,7
여,7
대표,7
취업,7
이름,7
기준,7
위치,7
링,7
시,7
파일,7
무생물,7
정의,7
힘,7
순간,7
연산,7
변론,7
답변,7
가능,7
관계,7
운영체제,7
건의,7
일반,7
미국,7
중심,7
버튼,7
리더십,7
물건,7
툴,7
롤러,7
야근,7
라면,7
주변,7
공기업,7
채용,7
퇴사,7
유출,7
최적화,6
민원,6
신청,6
서울대,6
처리,6
수행,6
니체,6
첫,6
공항철도,6
마지막,6
별,6
저희,6
자료,6
아직,6
크게,6
현대,6
고민,6
본인,6
네이버,6
성향,6
보고서,6
특성,6
직업,6
버전,6
기록,6
봐,6
학년,6
온,6
단순,6
존중,6
뜻,6
상대,6
영향,6
출력,6
동물,6
처럼,6
주장,6
적도,6
인프라,6
합리,6
우리나라,6
학업,6
졸업,6
총,6
파이,6
현장,6
창의,6
게임,6
확률,6
가입,6
서번트,6
씨드,6
젠,6
일정,6
드롭박스,6
중간,6
동시,6
속,6
제시,6
한쪽,6
낭비,6
달,6
문의,6
분배,6
통한,6
이용,6
리더,6
언어,6
동기,6
일과,6
키,6
진정,6
사업,6
개개인,6
지금,6
인지,6
유입,6
기사,5
성능,5
오일석,5
마이클,5
그네,5
빗,5
스키,5
객관,5
라즈베리파이,5
분산,5
텍스트,5
컴퓨터,5
정보처리,5
위주,5
소설,5
차라투스트라,5
주제,5
가사,5
계기,5
직장인,5
돈,5
적용,5
영어,5
번,5
끝,5
서버,5
기도,5
인터넷,5
인물,5
전체,5
비교,5
다음,5
양,5
개인화,5
이메일,5
학과,5
논,5
집,5
집합,5
자연,5
증거,5
혼란,5
주체,5
혼자,5
반론,5
갓기웅,100
인공지능,150
딥러닝,100
